window_size,num_heads,depth,freeze_encoder,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_roc_mean,auc_roc_std,auc_pr_mean,auc_pr_std,n_valid_evals
8,4,4,True,0.7237,0.4139,0.4400,0.3895,0.4974,0.3889,0.8902,0.1688,0.8646,0.1850,25
8,4,6,True,0.5796,0.4745,0.5350,0.4472,0.5533,0.4554,0.8828,0.2073,0.8590,0.1991,25
8,4,8,True,0.7408,0.3744,0.6150,0.3617,0.6593,0.3568,0.8470,0.2393,0.8277,0.2189,25
8,8,4,True,0.7029,0.4089,0.4800,0.3876,0.5388,0.3867,0.8609,0.2255,0.8402,0.2013,25
8,8,6,True,0.5821,0.4770,0.4825,0.4144,0.5207,0.4330,0.8631,0.2321,0.8502,0.2168,25
8,8,8,True,0.6039,0.4326,0.3750,0.3779,0.4321,0.3797,0.8488,0.2076,0.8069,0.2074,25
8,16,4,True,0.6031,0.4555,0.4450,0.3910,0.4947,0.3985,0.8745,0.2020,0.8562,0.1900,25
8,16,6,True,0.6039,0.4644,0.4050,0.4180,0.4481,0.4238,0.8638,0.2254,0.8480,0.2147,25
8,16,8,True,0.7210,0.4090,0.5950,0.4202,0.6163,0.4129,0.8827,0.1865,0.8647,0.1986,25
16,4,4,True,0.9042,0.1401,0.7681,0.3439,0.7948,0.3156,0.9275,0.1281,0.9149,0.1404,25
16,4,6,True,0.8985,0.1527,0.6294,0.3604,0.6868,0.3260,0.9233,0.1155,0.9056,0.1236,25
16,4,8,True,0.8975,0.2021,0.6050,0.4031,0.6495,0.3724,0.9334,0.0931,0.9147,0.1055,25
16,8,4,True,0.8893,0.1779,0.7194,0.3473,0.7591,0.3258,0.9420,0.1012,0.9236,0.1306,25
16,8,6,True,0.9428,0.1008,0.6256,0.3749,0.6802,0.3378,0.9336,0.1017,0.9229,0.1078,25
16,8,8,True,0.7275,0.3970,0.5394,0.4411,0.5643,0.4357,0.9102,0.1227,0.8849,0.1316,25
16,16,4,True,0.9141,0.1421,0.6994,0.3372,0.7511,0.3060,0.9242,0.1310,0.9162,0.1407,25
16,16,6,True,0.9098,0.1606,0.5581,0.3428,0.6388,0.3231,0.9011,0.1513,0.8894,0.1508,25
16,16,8,True,0.8249,0.2799,0.5300,0.4200,0.5721,0.4071,0.8929,0.1565,0.8725,0.1586,25
32,4,4,False,0.5874,0.2352,0.7042,0.3702,0.6270,0.2922,0.7577,0.2342,0.7183,0.2190,25
32,4,6,False,0.6112,0.1781,0.6789,0.3644,0.6164,0.2683,0.7444,0.2354,0.7088,0.2073,25
32,4,8,False,0.6049,0.1936,0.6652,0.3899,0.6028,0.2975,0.7451,0.2017,0.6905,0.1680,25
32,8,4,False,0.5970,0.2230,0.7294,0.3681,0.6427,0.2885,0.7470,0.2363,0.6988,0.2098,25
32,8,6,False,0.5963,0.1953,0.6837,0.3735,0.6139,0.2771,0.7293,0.2472,0.7041,0.2048,25
32,8,8,False,0.6081,0.2048,0.6828,0.3697,0.6191,0.2768,0.7588,0.1824,0.6990,0.1670,25
32,16,4,False,0.5911,0.2329,0.7236,0.3712,0.6357,0.2903,0.7611,0.2359,0.7220,0.2102,25
32,16,6,False,0.6239,0.1892,0.6992,0.3609,0.6340,0.2659,0.7310,0.2436,0.7057,0.2074,25
32,16,8,False,0.6013,0.2203,0.6942,0.3745,0.6247,0.2841,0.7559,0.1681,0.6875,0.1474,25
